i_th actor,our names,mixamo name,search as,website search,n_results,i_result,scale
53,actor_053,Remy,Remy,https://www.mixamo.com/#/?page=1&query=Remy&type=Character,1,0,0.01063
54,actor_054,Roth,Roth,https://www.mixamo.com/#/?page=1&query=Roth&type=Character,1,0,0.0229
55,actor_055,Shae,Shae,https://www.mixamo.com/#/?page=1&query=Shae&type=Character,1,0,0.01177
56,actor_056,Shannon,Shannon,https://www.mixamo.com/#/?page=1&query=Shannon&type=Character,1,0,0.0225
57,actor_057,Sophie,Sophie,https://www.mixamo.com/#/?page=1&query=Sophie&type=Character,1,0,0.0227
58,actor_058,Stefani,Stefani,https://www.mixamo.com/#/?page=1&query=Stefani&type=Character,1,0,0.01183
59,actor_059,Steve,Steve,https://www.mixamo.com/#/?page=1&query=Steve&type=Character,1,0,0.02248
60,actor_060,Suzie,Suzie,https://www.mixamo.com/#/?page=1&query=Suzie&type=Character,1,0,0.02284
61,actor_061,Swat Guy,Swat Guy,https://www.mixamo.com/#/?page=1&query=Swat+Guy&type=Character,2,0,0.0226
62,actor_062,Vanguard By T. Choonyung,Vanguard By T. Choonyung,https://www.mixamo.com/#/?page=1&query=Vanguard+By+T.+Choonyung&type=Character,1,0,0.02218
63,actor_063,X Bot,X Bot,https://www.mixamo.com/#/?page=1&query=X+Bot&type=Character,1,0,0.02212
64,actor_064,Y Bot,Y Bot,https://www.mixamo.com/#/?page=1&query=Y+Bot&type=Character,1,0,0.02217
